,Age,EstimatedSalary,target
83,-0.25358735848624026,0.5361288690822568,0
50,-1.3042317815930733,-1.1083030996213654,0
162,-0.06256109973954335,-1.0789382430373722,0
109,0.03295202963380511,0.3012100164103108,0
281,-0.25358735848624026,-0.25672225868556103,0
150,-1.1132055228463764,-1.6075056615492507,0
165,-1.8773105578331641,0.4773991559142703,0
294,-0.25358735848624026,-0.37418168502153404,0
82,-1.6862842990864673,-0.60910053769348,0
318,0.7015439352472443,-1.1083030996213654,1
135,-1.3997449109664217,-0.1979925455175745,0
59,-0.5401267466062857,1.387709710018061,0
231,0.12846515900715358,-0.8146545337814328,0
67,-1.3997449109664217,0.3599397295782973,0
324,0.9880833233672897,1.7988177021939666,1
144,-0.34910048785958875,-1.313857095709318,0
127,-1.1132055228463764,-1.1083030996213654,0
119,0.3194914177538505,-0.3154519718535475,0
211,1.3701358408606836,2.3567499772898386,1
218,0.7970570646205928,0.7710477217542028,0
283,1.3701358408606836,-1.431316522045291,1
157,-0.826666134726331,0.1543857334903445,0
241,0.03295202963380511,-0.3154519718535475,0
358,0.22397828838050202,0.036926307154371514,1
343,0.8925701939939412,-0.5503708245254936,1
104,-1.7817974284598157,-1.431316522045291,0
4,-1.7817974284598157,0.18375059007433778,0
196,-0.7311530053529826,0.2718451598263175,0
337,-0.25358735848624026,0.2718451598263175,0
147,0.3194914177538505,-1.167032812789352,0
327,0.415004547127199,0.1543857334903445,0
85,-0.6356398759796341,1.4170745666020543,1
92,-1.1132055228463764,-1.6075056615492507,0
355,2.134240875847471,-1.0495733864533787,1
388,0.8925701939939412,-1.0495733864533787,1
77,-1.4952580403397702,-1.2551273825413316,0
188,-0.25358735848624026,0.06629116373836477,0
304,0.22397828838050202,-0.28608711526955427,0
364,0.415004547127199,1.0059665744261488,1
55,-1.3042317815930733,-0.4329113981895205,0
36,-0.4446136172329372,-1.2257625259573384,0
14,-1.8773105578331641,0.3599397295782973,0
265,0.415004547127199,1.123426000762122,1
42,-0.25358735848624026,1.123426000762122,0
72,-1.6862842990864673,-1.3725868088773046,0
336,1.9432146171007743,2.1805608377858787,1
18,0.7970570646205928,-1.2257625259573384,1
204,1.9432146171007743,0.9178720046741691,1
187,-0.4446136172329372,-0.8440193903654261,0
15,-0.826666134726331,0.3012100164103108,0
25,0.8925701939939412,-1.4606813786292843,1
220,0.3194914177538505,0.3012100164103108,0
73,-0.4446136172329372,1.2702502836820881,0
372,0.12846515900715358,0.09565602032235802,0
78,-0.9221792640996795,0.5067640124982635,0
167,-0.25358735848624026,0.036926307154371514,0
118,0.22397828838050202,-0.3154519718535475,0
257,0.22397828838050202,-0.37418168502153404,0
379,1.9432146171007743,-1.3725868088773046,1
57,-0.9221792640996795,0.2718451598263175,0
35,-0.25358735848624026,-1.2551273825413316,0
161,-1.2087186522197249,0.5948585822502434,0
169,-0.826666134726331,-0.6678302508614665,0
249,-0.25358735848624026,0.8004125783381961,1
65,-1.3042317815930733,-0.34481682843754075,0
94,-0.826666134726331,0.3893045861622905,0
106,-1.1132055228463764,-1.0202085298693855,0
243,1.7521883583540774,1.0059665744261488,1
219,2.0387277464741227,2.1511959812018855,1
230,-0.25358735848624026,2.268655407537859,1
75,-0.34910048785958875,1.240885427098095,1
63,-0.5401267466062857,1.4758042797700408,1
10,-1.1132055228463764,0.3012100164103108,0
222,-0.06256109973954335,2.1805608377858787,1
345,0.3194914177538505,-0.1979925455175745,0
359,0.415004547127199,-0.46227625477351375,0
184,-0.4446136172329372,-0.28608711526955427,0
138,-0.9221792640996795,-0.3154519718535475,0
142,-0.25358735848624026,-0.3154519718535475,0
133,-1.5907711697131186,-0.05116826259760824,0
342,0.03295202963380511,-0.139262832349588,0
20,0.7015439352472443,-1.4019516654612978,1
111,-0.06256109973954335,0.036926307154371514,0
37,-0.7311530053529826,-0.60910053769348,0
369,1.5611620996073805,-1.2844922391253248,1
182,-0.5401267466062857,1.387709710018061,1
93,-0.826666134726331,-1.2257625259573384,0
274,1.8477014877274258,-1.2844922391253248,1
141,-1.8773105578331641,-0.05116826259760824,0
392,0.7015439352472443,-0.726559964029453,1
227,1.7521883583540774,1.8575474153619531,1
315,0.12846515900715358,0.1543857334903445,1
374,-0.06256109973954335,0.3012100164103108,0
179,-0.6356398759796341,-1.0495733864533787,0
361,1.465648970234032,-1.0495733864533787,1
86,-1.3042317815930733,-0.4329113981895205,0
45,-1.3997449109664217,-1.4606813786292843,0
47,-1.017692393473028,-0.46227625477351375,0
377,0.415004547127199,-0.49164111135750704,0
91,-0.7311530053529826,1.3583448534340679,0
136,-1.6862842990864673,0.3599397295782973,0
371,2.134240875847471,0.3893045861622905,1
269,0.22397828838050202,-0.25672225868556103,0
181,-0.6356398759796341,0.036926307154371514,0
154,0.22397828838050202,-0.6678302508614665,0
173,-0.34910048785958875,-0.7852896771974396,0
272,2.134240875847471,-0.8146545337814328,1
